Date,Entreprise,Indice,Valeur,Volume
2000-11-22,Saint-Gobelin,SAG,17.950469970703125,853628
2000-11-22,Sanufo,SAN,27.516979217529297,776893
2000-11-22,Schneider Electric,SCH,17.305831909179688,4243558
2000-11-22,Société générale,SOG,20.688539505004883,2817659
2000-11-22,True Office,TRU,3.483725516824011,0
2000-11-22,Tréneau,TRE,29.593067169189453,916424
2000-11-22,URW,URW,6.259361709676295,0
2000-11-22,Vélo là,VEL,17.705028533935547,761904
2000-11-23,Airtaxi,AIR,15.271993166187757,0
2000-11-23,ArcelOrbital,ARC,24.622895653480878,0
2000-11-23,Atlantis,ATL,12.088543728800667,0
2000-11-23,Bearing,BEA,88.9540786743164,96028
2000-11-23,CURCUMA,CUR,27.194446563720703,485075
2000-11-23,Capverseau,CAP,102.69343566894531,337823
2000-11-23,Cil Exotica,CIL,10.472735404968262,2007070
2000-11-23,Croisement,CRO,34.151119232177734,1856841
2000-11-23,Dantwo,DAN,18.36361312866211,10809746
2000-11-23,Default Systèmes,DEF,6.767923355102539,2857170
2000-11-23,Desaxa,DES,6.7903900146484375,13430182
2000-11-23,Eau gazeuse,EGA,13.558927536010742,1121471
2000-11-23,Edenbread,EDE,7.251207416290693,0
2000-11-23,Eurobefore,AUB,5.000783126952061,0
2000-11-23,Eurofins Analyse,EUA,2.613812208175659,707650
2000-11-23,FDP,FDP,12.143434524536133,2915760
2000-11-23,Herpès Local,HER,39.30733871459961,104529
2000-11-23,Kenji,KEN,10.286591529846191,2483000
2000-11-23,L'Ofalso,LOF,60.19728088378906,626504
2000-11-23,LVMHASH,LVM,48.988677978515625,914173
2000-11-23,Leonard,LEO,5.476259708404541,1222927
2000-11-23,Lepetit,LEP,9.551329147359974,0
2000-11-23,Mandarine,MAN,25.086177825927734,1686285
2000-11-23,Micheline,MIC,3.7240002155303955,962146
2000-11-23,Milesios,MIL,28.89349365234375,142158
2000-11-23,Padaccor,PAD,4.604348659515381,426472
2000-11-23,Paindépice Groupe,PAI,20.008684158325195,500544
2000-11-23,Paris-Barque,PAR,13.172765731811523,8535289
2000-11-23,Pinot-Pinard,PP,13.297999382019043,155866
2000-11-23,Pouic,POU,14.736339569091797,587733
2000-11-23,Prêt Industriel,PRE,-51.19895480159507,0
2000-11-23,STMicrofibres,STM,19.892022091924158,0
2000-11-23,Saint-Gobelin,SAG,18.02161407470703,383052
2000-11-23,Sanufo,SAN,28.353357315063477,404707
2000-11-23,Schneider Electric,SCH,17.171775817871094,485985
2000-11-23,Société générale,SOG,21.03134536743164,996595
2000-11-23,True Office,TRU,3.530547669190551,0
2000-11-23,Tréneau,TRE,28.946931838989258,912051
2000-11-23,URW,URW,6.343489114740899,0
2000-11-23,Vélo là,VEL,17.199174880981445,643251
2000-11-24,Airtaxi,AIR,15.271237237095754,0
2000-11-24,ArcelOrbital,ARC,24.621676875882482,0
